x,y,z,gradx,grady
-0.440000,-0.110000,0,246.769108,-7.428782
-0.440000,-0.100000,0,270.414058,-6.893279
-0.440000,-0.090000,0,292.416667,-6.321218
-0.440000,-0.080000,0,307.941781,1464.709835
-0.440000,-0.070000,0,307.291582,1701.717213
-0.440000,-0.060000,0,271.583333,527.027027
-0.440000,-0.050000,0,165.287126,649.740104
-0.440000,-0.040000,0,-74.250000,764.705882
-0.440000,-0.030000,0,-432.833333,820.016821
-0.440000,-0.020000,0,-812.000000,735.294118
-0.440000,-0.010000,0,-1187.894277,448.275862
-0.440000,0.000000,0,-1353.666667,0.000000
-0.440000,0.010000,0,-1187.894277,-448.275862
-0.440000,0.020000,0,-3101.996218,-735.294118
-0.440000,0.030000,0,-432.833333,-820.016821
-0.440000,0.040000,0,-155.750000,-2339.705882
-0.440000,0.050000,0,13.494802,-649.740104
-0.440000,0.060000,0,104.666667,1047.972973
-0.440000,0.070000,0,147.558824,-419.045865
-0.440000,0.080000,0,163.000000,-331.463539
-0.440000,0.090000,0,163.730241,-262.921348
-0.440000,0.100000,0,157.066937,-210.002585
-0.440000,0.110000,0,147.066554,-169.230769
-0.440000,0.120000,0,135.916667,-137.692416
-0.440000,0.130000,0,124.758405,-113.122172
-0.440000,0.140000,0,368.381505,-93.814433
-0.440000,0.150000,0,104.353675,-78.501151
-0.440000,0.160000,0,95.433521,-66.242038
-0.440000,0.170000,0,87.385246,-56.337885
-0.440000,0.180000,0,80.156863,-48.265734
-0.440000,0.190000,0,73.678146,-41.631552
-0.440000,0.200000,0,67.873853,-36.136005
-0.440000,0.210000,0,62.670568,-31.549752
-0.440000,0.220000,0,58.000000,-27.695573
-0.440000,0.230000,0,53.800317,-24.435371
